decade,name_full,num_players
2010,University of Florida,5
2010,University of Texas at Austin,4
2010,University of South Carolina,3
2000,Arizona State University,23
2000,California State University Long Beach,23
2000,Stanford University,22
1990,Stanford University,25
1990,University of Southern California,23
1990,Louisiana State University,22
1980,University of Arizona,24
1980,Arizona State University,23
1980,"University of California, Los Angeles",22
1970,Arizona State University,32
1970,University of Southern California,24
1970,University of Texas at Austin,20
1960,Arizona State University,18
1960,University of Southern California,17
1960,University of Michigan,14
1950,University of Southern California,12
1950,Michigan State University,9
1950,University of Texas at Austin,7
1940,University of Southern California,9
1940,University of Illinois at Urbana-Champaign,8
1940,University of Texas at Austin,7
1930,Duke University,14
1930,College of the Holy Cross,11
1930,University of Texas at Austin,11
1920,University of Alabama,19
1920,College of the Holy Cross,15
1920,University of Texas at Austin,12
1910,St. Mary's College of California,11
1910,College of the Holy Cross,11
1910,Brown University,9
1900,University of Notre Dame,16
1900,Manhattan College,14
1900,College of the Holy Cross,14
1890,College of the Holy Cross,13
1890,Brown University,13
1890,University of Pennsylvania,9
1880,Yale University,6
1880,Brown University,5
1880,College of the Holy Cross,3
1870,Yale University,3
1870,Brown University,3
1870,Harvard University,1
1860,Villanova University,1
1860,Fordham University,1
